question,intent
도서관 언제까지 하나요?,운영시간
도서관 오늘 하나요?,운영시간
도서관 운영 시간 어떻게 되나요?,운영시간
오늘 도서관 가도 돼요?,운영시간
도서관 아침에 가면 못 들어가나요?,운영시간
책 검색 좀 할게요,도서검색
책 찾아주세요,도서검색
책 어딨어요?,도서검색
학교에 수업 교재 있나요?,도서검색
책 빌릴 수 있는지 궁금해요,도서검색
책이 없어요,도서검색
열람실 자리 남았나요?,자리현황
열람실 자리 몇 개 남았나요?,자리현황
열람실 가면 앉을 수 남았나요?,자리현황
열람실에 사람 몇 명 남았나요?,자리현황
열람실에 사람 많나요?,자리현황
도서실 언제까지 하나요?,운영시간
미디어실 언제까지 하나요?,운영시간
일반도서실 언제까지 하나요?,운영시간
멀티미디어실 언제까지 하나요?,운영시간
열람실 언제까지 하나요?,운영시간
도서관 얼마나 하나요?,운영시간
도서관 몇 시간 하나요?,운영시간
도서관 몇 시까지 하나요?,운영시간
도서관 언제 하나요?,운영시간
도서관 언제까지 문 닫나요?,운영시간
도서관 언제까지 문 여나요?,운영시간
도서관 언제까지 문 열어?,운영시간
도서관 언제까지 문 닫아?,운영시간
도서관 언제까지 해?,운영시간
도서관 언제까지 가도 되나요?,운영시간
도서관 언제까지 가도 돼?,운영시간
도서관 언제까지 갈 수 있나요?,운영시간
도서실 오늘 하나요?,운영시간
미디어실 오늘 하나요?,운영시간
일반도서실 오늘 하나요?,운영시간
멀티미디어실 오늘 하나요?,운영시간
열람실 오늘 하나요?,운영시간
도서관 내일 하나요?,운영시간
도서관 주말에 하나요?,운영시간
도서관 평일에 하나요?,운영시간
도서관 학기 중에 하나요?,운영시간
도서관 방학 때 하나요?,운영시간
도서관 밤에 하나요?,운영시간
도서관 낮에 하나요?,운영시간
도서관 아침에 하나요?,운영시간
도서관 새벽에 하나요?,운영시간
도서관 지금 하나요?,운영시간
도서관 오늘 문 닫나요?,운영시간
도서관 오늘 문 여나요?,운영시간
도서관 오늘 문 열어?,운영시간
도서관 오늘 문 닫아?,운영시간
도서관 오늘 해?,운영시간
도서관 오늘 가도 되나요?,운영시간
도서관 오늘 가도 돼?,운영시간
도서관 오늘 갈 수 있나요?,운영시간
도서실 운영 시간 어떻게 되나요?,운영시간
미디어실 운영 시간 어떻게 되나요?,운영시간
일반도서실 운영 시간 어떻게 되나요?,운영시간
멀티미디어실 운영 시간 어떻게 되나요?,운영시간
열람실 운영 시간 어떻게 되나요?,운영시간
오늘 도서실 가도 돼요?,운영시간
오늘 미디어실 가도 돼요?,운영시간
오늘 일반도서실 가도 돼요?,운영시간
오늘 멀티미디어실 가도 돼요?,운영시간
오늘 열람실 가도 돼요?,운영시간
내일 도서관 가도 돼요?,운영시간
주말에 도서관 가도 돼요?,운영시간
평일에 도서관 가도 돼요?,운영시간
학기 중에 도서관 가도 돼요?,운영시간
방학 때 도서관 가도 돼요?,운영시간
밤에 도서관 가도 돼요?,운영시간
낮에 도서관 가도 돼요?,운영시간
아침에 도서관 가도 돼요?,운영시간
새벽에 도서관 가도 돼요?,운영시간
지금 도서관 가도 돼요?,운영시간
도서실 아침에 가면 못 들어가나요?,운영시간
미디어실 아침에 가면 못 들어가나요?,운영시간
일반도서실 아침에 가면 못 들어가나요?,운영시간
멀티미디어실 아침에 가면 못 들어가나요?,운영시간
열람실 아침에 가면 못 들어가나요?,운영시간
도서 검색 좀 할게요,도서검색
자료 검색 좀 할게요,도서검색
교재 검색 좀 할게요,도서검색
문헌 검색 좀 할게요,도서검색
도서 찾아주세요,도서검색
자료 찾아주세요,도서검색
교재 찾아주세요,도서검색
문헌 찾아주세요,도서검색
도서 어딨어요?,도서검색
자료 어딨어요?,도서검색
